,Ambient temp,Ambient pressure,Ambient humidity,AFD pressure,GT exh pressure,Turbine inlet temp,Turbine after temp,Turbine energy yield
0,4.5878,1018.7,83.675,3.5758,23.979,1086.2,549.83,11.898
1,4.2932,1018.3,84.235,3.5709,23.951,1086.1,550.05,11.892000000000001
2,3.9045,1018.4,84.85799999999999,3.5828,23.99,1086.5,550.19,12.042
3,3.7436,1018.3,85.434,3.5808,23.910999999999998,1086.5,550.17,11.99
4,3.7516,1017.8,85.182,3.5781,23.916999999999998,1085.9,550.0,11.91
5,3.8858,1017.7,83.946,3.5824,23.903000000000002,1086.0,549.98,11.868
6,3.6697,1018.0,84.11399999999999,3.5804,23.889,1085.9,550.04,11.877
7,3.5892,1018.2,83.867,3.5777,23.875999999999998,1086.0,549.88,11.892999999999999
8,3.7108,1018.5,84.948,3.6027,23.956999999999997,1086.3,549.98,11.87
9,4.8281,1018.5,85.346,3.5158,23.421999999999997,1083.1,549.8,11.694
10,6.0334,1018.4,86.054,3.5748,23.989,1085.8,550.04,11.804
11,7.9896,1017.9,87.541,4.3905,30.128,1094.5,534.81,13.333
12,9.8712,1017.2,84.249,4.6983,32.341,1100.2,530.58,13.929
13,10.722000000000001,1016.5,80.263,4.7526,32.739000000000004,1100.2,528.93,14.049000000000001
14,11.017000000000001,1016.3,78.128,4.744,32.672,1100.1,529.06,14.017999999999999
15,10.946,1016.2,77.96,4.6919,32.424,1100.3,530.67,13.945
16,10.755,1015.9,79.267,4.7117,32.632,1100.2,529.35,14.025
17,10.175,1015.8,81.423,4.6407,32.286,1099.8,530.67,13.825999999999999
18,9.5069,1015.7,82.51799999999999,4.6187,32.218,1099.8,530.75,13.913
19,5.388,1014.3,90.459,3.63,24.064,1084.8,549.11,11.814
20,5.4906,1013.9,88.626,3.2829,21.254,1069.3,549.65,11.132
21,5.4522,1013.6,87.772,3.6333,23.994,1085.1,549.71,11.792
22,5.4774,1013.4,87.76799999999999,3.5139,23.013,1079.7,550.13,11.605
23,5.3784,1013.1,86.56200000000001,3.5598,23.419,1082.2,550.1,11.667
24,5.2236,1012.8,87.09299999999999,3.5058,22.94,1079.4,550.09,11.686
25,5.2513,1012.7,87.374,3.6241,23.796,1084.4,549.93,11.692
26,5.2734,1012.5,88.53399999999999,3.4224,22.208000000000002,1074.9,550.06,11.450999999999999
27,5.9776,1012.5,90.679,3.5983,23.447,1082.3,550.02,11.622
28,6.7676,1012.8,90.87899999999999,3.7007,24.205,1086.3,550.04,11.782
29,7.571000000000001,1013.0,90.3,3.7149,24.198,1085.8,549.87,11.8
30,9.2719,1013.2,91.475,3.8031,24.625,1088.5,549.87,11.92
31,11.350999999999999,1013.1,88.31700000000001,3.7048,24.375999999999998,1086.6,549.85,11.88
32,12.517999999999999,1012.6,79.374,3.6771,24.355,1085.9,549.71,11.897
33,13.1,1011.9,74.68,3.7101,24.391,1086.2,549.63,11.91
34,13.458,1011.7,72.249,3.7271,24.377,1086.6,549.83,11.856
35,13.429,1011.5,71.494,3.3986,22.019000000000002,1072.5,550.12,11.224
36,12.860999999999999,1011.7,76.197,3.4122,22.430999999999997,1074.5,549.7,11.324000000000002
37,12.259,1011.8,79.056,4.6624,32.286,1099.6,531.41,13.734000000000002
38,12.275,1011.8,77.068,4.5962,31.548000000000002,1099.7,533.5,13.602
39,12.005,1011.7,77.77,4.6351,32.055,1100.0,531.87,13.710999999999999
40,11.600999999999999,1011.6,80.789,4.6432,32.203,1100.1,530.83,13.84
41,11.782,1011.4,82.954,4.688,32.395,1100.1,530.46,13.912
42,12.624,1011.2,80.439,4.1993,28.359,1089.4,538.27,12.872
43,12.308,1010.9,79.564,3.5436,23.611,1081.9,549.7,11.785
44,11.432,1010.5,83.70299999999999,3.6061,24.101,1084.7,549.94,11.744000000000002
45,11.387,1010.1,86.53399999999999,3.6333,24.244,1085.4,549.83,11.845999999999998
46,11.735999999999999,1009.9,86.005,3.6463,24.214000000000002,1085.3,550.31,11.834000000000001
47,11.728,1009.4,79.251,3.6098,24.151999999999997,1084.7,549.91,11.828
48,11.384,1009.2,80.702,3.625,24.13,1084.4,549.87,11.822000000000001
49,11.087,1008.9,86.12200000000001,3.6199,24.085,1084.6,550.08,11.81
50,10.584000000000001,1008.7,91.258,3.5806,23.801,1083.4,550.16,11.725
51,10.181000000000001,1008.7,94.865,3.6288,24.166999999999998,1085.1,549.72,11.693
52,10.300999999999998,1008.5,96.316,3.6644,24.212,1084.8,549.17,11.895999999999999
53,10.422,1008.5,96.764,4.6879,32.175,1100.2,531.59,13.745999999999999
54,10.593,1008.1,98.27,4.7219999999999995,32.482,1099.9,530.58,13.876
55,10.555,1007.8,99.104,4.6722,32.111,1100.3,531.44,13.894
56,10.527999999999999,1007.5,98.744,4.7348,32.48,1100.0,530.0,13.909
57,10.254000000000001,1007.4,98.075,4.6774,32.061,1100.2,530.75,13.918
58,9.8215,1007.7,96.68700000000001,4.6954,32.368,1099.9,529.5,13.953
59,8.7987,1008.1,96.521,4.6598,32.339,1099.8,529.7,13.831
60,7.9529,1008.5,97.91799999999999,4.6697,32.451,1100.0,529.03,13.922
61,7.4649,1009.6,96.515,4.7244,32.879,1099.9,527.6,14.073
62,7.321000000000001,1010.1,95.181,4.6731,32.662,1100.0,528.04,14.15
63,6.9685,1010.6,96.88,4.7564,33.258,1100.1,526.15,14.247
64,6.9214,1011.2,96.2,4.7221,33.053000000000004,1100.0,526.79,14.102
